age,page,workst,pworkst,sex,psex,samesex,reldur,reldur_class,cohab,nkidsliv_class,relsat,prelsat,relint,prelint,tf_kiss,tf_hold,tf_hug,ptf_kiss,ptf_hold,ptf_hug,omo15i1_w2b,omo16i1_w2b,omo17i1_w2b,omo15i2_w2b,omo16i2_w2b,omo17i2_w2b,pomo15i1_w2b,pomo16i1_w2b,pomo17i1_w2b,pomo15i2_w2b,pomo16i2_w2b,pomo17i2_w2b,agediff_class,confm,pconfm,loneliness,ploneliness,lifsat,plifsat,extr,agree,consc,open,neur,depr,pdepr,self,pself,health,phealth,consv,god,pgod,pextr,pagree,pconsc,popen,pneur,east,peast,degurba,pdegurba,married,pconsv,ykage_class_w2b
48,46,"Full time activity","Full time activity","Male","Female","Different sex",22.5,"21+","Cohabiting","0","10 - Completely satisfied","9",25,22,"0x","1-5x","1-5x","1-5x","1-5x","0x","Not at all","1 to 5 times","1 to 5 times","Not at all","21 to 50 times","1 to 5 times","1 to 5 times","1 to 5 times","Not at all","1 to 5 times","6 to 10 times","Not at all","2-5y. younger partner",25,23,"1 - Not at all","2","8","9",12,11,13,9,7,3,3,11,13,4,3,25,0,0,11,12,12,6,6,"West Germany",,"Rural area",,"Married",22,
33,31,"Full time activity","Home","Male","Female","Different sex",5.5,"3-5","Cohabiting","1","10 - Completely satisfied","10 - Completely satisfied",22,24,"6-10x","11-20x","6-10x","11-20x","11-20x","6-10x","6 to 10 times","11 to 20 times","6 to 10 times","More than 50 times","More than 50 times","More than 50 times","11 to 20 times","11 to 20 times","6 to 10 times","11 to 20 times","11 to 20 times","6 to 10 times","2-5y. younger partner",23,22,"1 - Not at all","1 - Not at all","7","9",11,9,12,13,7,5,4,15,14,3,5,27,5,7,10,12,11,10,6,"West Germany","West Germany","City","City","Married",18,"0-1"
35,34,"Full time activity","Part-time activity","Male","Female","Different sex",14.25,"11-20","Cohabiting","2","10 - Completely satisfied","10 - Completely satisfied",24,25,"21-50x","11-20x","6-10x","11-20x","11-20x","11-20x","21 to 50 times","11 to 20 times","6 to 10 times","21 to 50 times","11 to 20 times","6 to 10 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","Same age",23,27,"1 - Not at all","1 - Not at all","7","9",11,10,13,9,7,5,3,12,13,3,4,15,0,0,10,7,11,12,6,"West Germany","West Germany","Rural area","Rural area","Married",9,"6-13"
27,25,"Full time activity","Full time activity","Female","Male","Different sex",5.583333,"3-5","Cohabiting","2","8","10 - Completely satisfied",20,12,"6-10x","1-5x","1-5x","1-5x","1-5x","1-5x","6 to 10 times","1 to 5 times","1 to 5 times","11 to 20 times","6 to 10 times","6 to 10 times","1 to 5 times","1 to 5 times","1 to 5 times","6 to 10 times","6 to 10 times","6 to 10 times","2-5y. younger partner",21,20,"1 - Not at all","1 - Not at all","8","8",4,11,12,5,8,5,3,12,15,4,4,14,8,10,10,8,9,10,8,"West Germany","West Germany","Rural area","Rural area","Married",20,"2-5"
31,43,"Home","Full time activity","Female","Male","Different sex",7.416667,"6-10","Cohabiting","3+","8","7",22,16,"1-5x","1-5x","1-5x","6-10x","1-5x","1-5x","1 to 5 times","1 to 5 times","1 to 5 times","11 to 20 times","6 to 10 times","11 to 20 times","6 to 10 times","1 to 5 times","1 to 5 times","21 to 50 times","11 to 20 times","1 to 5 times","> 10y. older partner",22,24,"5 - Absolutely","2","7","4",11,9,12,7,7,5,10,14,9,5,3,18,7,5,9,11,7,12,11,"West Germany","West Germany","City","City","Married",25,"2-5"
42,48,"Full time activity","Full time activity","Female","Male","Different sex",19.58333,"11-20","Cohabiting","0","8","8",23,21,"21-50x","> 50x","> 50x","6-10x","0x","6-10x","21 to 50 times","More than 50 times","More than 50 times","21 to 50 times","More than 50 times","More than 50 times","6 to 10 times","Not at all","6 to 10 times","11 to 20 times","Not at all","6 to 10 times","6-10y. older partner",23,20,"1 - Not at all","1 - Not at all","8","5",9,12,11,11,8,6,4,9,13,3,3,14,7,8,7,12,13,8,9,"West Germany","West Germany","Town or suburb","Town or suburb","Married",7,
33,31,"Full time activity","Full time activity","Male","Female","Different sex",,,"Cohabiting","0","7","8",19,22,"21-50x","11-20x","11-20x","21-50x","6-10x","11-20x","21 to 50 times","11 to 20 times","11 to 20 times","21 to 50 times","11 to 20 times","11 to 20 times","21 to 50 times","6 to 10 times","11 to 20 times","21 to 50 times","11 to 20 times","21 to 50 times","2-5y. younger partner",25,24,"4","1 - Not at all","6","8",10,9,10,9,10,6,4,9,12,3,5,15,4,1,10,13,9,11,6,"West Germany","West Germany","City","City","Not married",8,
38,29,"Full time activity","Full time activity","Male","Female","Different sex",3.416667,"3-5","Cohabiting","0","10 - Completely satisfied","10 - Completely satisfied",26,26,"> 50x","6-10x","21-50x","> 50x","> 50x","> 50x","More than 50 times","6 to 10 times","21 to 50 times","More than 50 times","6 to 10 times","21 to 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","6-10y. younger partner",26,24,"1 - Not at all","1 - Not at all","9","10 - Completely satisfied",9,9,10,11,5,4,4,13,12,4,4,13,0,0,8,13,9,8,6,"West Germany","West Germany","City","City","Married",14,
49,45,"Home","Full time activity","Male","Female","Different sex",26.33333,"21+","Cohabiting","2","10 - Completely satisfied","9",23,24,"6-10x","1-5x","1-5x","6-10x","6-10x","6-10x","6 to 10 times","1 to 5 times","1 to 5 times","11 to 20 times","1 to 5 times","1 to 5 times","6 to 10 times","6 to 10 times","6 to 10 times","6 to 10 times","6 to 10 times","6 to 10 times","2-5y. younger partner",22,20,"1 - Not at all","1 - Not at all","5","7",9,13,12,10,10,5,5,9,15,2,4,12,7,0,11,12,11,8,11,"East Germany","East Germany","Town or suburb","Town or suburb","Married",10,"6-13"
43,40,"Full time activity","Part-time activity","Male","Female","Different sex",19.16667,"11-20","Cohabiting","2","10 - Completely satisfied","7",21,25,"1-5x","6-10x","0x","0x","1-5x","0x","1 to 5 times","6 to 10 times","Not at all","1 to 5 times","6 to 10 times","1 to 5 times","Not at all","1 to 5 times","Not at all","1 to 5 times","1 to 5 times","1 to 5 times","2-5y. younger partner",24,24,"1 - Not at all","1 - Not at all","8","8",10,,,10,5,3,4,15,13,4,4,13,1,2,12,12,13,10,6,"West Germany",,"Rural area",,"Married",16,"6-13"
35,32,"Full time activity","Full time activity","Male","Female","Different sex",6.5,"6-10","Cohabiting","0","10 - Completely satisfied","10 - Completely satisfied",30,28,"21-50x","11-20x","0x","21-50x","11-20x","11-20x","21 to 50 times","11 to 20 times","Not at all","21 to 50 times","11 to 20 times","Not at all","21 to 50 times","11 to 20 times","11 to 20 times","21 to 50 times","11 to 20 times","11 to 20 times","2-5y. younger partner",30,30,"1 - Not at all","1 - Not at all","8","10 - Completely satisfied",10,9,9,12,4,3,4,12,12,4,4,11,0,0,9,9,10,11,3,"West Germany","West Germany","City","City","Married",9,
43,40,"Full time activity","Home","Male","Female","Different sex",9.083333,"6-10","Cohabiting","2","9","7",17,21,"6-10x","0x","1-5x","11-20x","1-5x","1-5x","6 to 10 times","Not at all","1 to 5 times","11 to 20 times","Not at all","1 to 5 times","11 to 20 times","1 to 5 times","1 to 5 times","21 to 50 times","6 to 10 times","1 to 5 times","2-5y. younger partner",24,21,"1 - Not at all","1 - Not at all","5","7",5,7,12,11,8,5,3,10,10,3,4,10,0,6,6,10,12,9,6,"West Germany","West Germany","Town or suburb","Town or suburb","Married",8,"2-5"
32,36,"Part-time activity","Full time activity","Female","Male","Different sex",12.41667,"11-20","Cohabiting","2","7","7",20,16,"6-10x","1-5x","1-5x","1-5x","1-5x","1-5x","6 to 10 times","1 to 5 times","1 to 5 times","6 to 10 times","6 to 10 times","6 to 10 times","1 to 5 times","1 to 5 times","1 to 5 times","11 to 20 times","6 to 10 times","11 to 20 times","2-5y. older partner",20,16,"2","3","8","6",11,12,12,12,7,4,6,12,7,4,3,10,4,2,10,7,13,7,13,"West Germany","West Germany","City","City","Married",13,"0-1"
39,42,"Part-time activity","Full time activity","Female","Male","Different sex",15.5,"11-20","Cohabiting","1","9","9",27,23,"11-20x","21-50x","11-20x","1-5x","1-5x","1-5x","11 to 20 times","21 to 50 times","11 to 20 times","11 to 20 times","21 to 50 times","11 to 20 times","1 to 5 times","1 to 5 times","1 to 5 times","Not at all","Not at all","Not at all","2-5y. older partner",21,22,"1 - Not at all","1 - Not at all","9","7",9,12,9,12,11,5,6,13,13,4,5,13,1,0,12,11,10,12,8,"West Germany","West Germany","Town or suburb","Town or suburb","Married",21,"2-5"
46,44,"Full time activity","Full time activity","Male","Female","Same sex",15.25,"11-20","Cohabiting","2","10 - Completely satisfied","8",23,21,"11-20x","11-20x","11-20x","1-5x","6-10x","1-5x","11 to 20 times","11 to 20 times","11 to 20 times","No answer","11 to 20 times","11 to 20 times","1 to 5 times","6 to 10 times","1 to 5 times","6 to 10 times","6 to 10 times","1 to 5 times","2-5y. younger partner",22,21,"1 - Not at all","3","8","5",10,10,13,7,6,3,7,7,10,4,3,14,0,0,11,10,14,8,11,"West Germany","West Germany","Town or suburb","Town or suburb","Married",10,"6-13"
36,48,"Full time activity","Full time activity","Female","Male","Different sex",13,"11-20","Cohabiting","2","10 - Completely satisfied","10 - Completely satisfied",24,,"11-20x","6-10x","6-10x","11-20x","6-10x","11-20x","11 to 20 times","6 to 10 times","6 to 10 times","11 to 20 times","6 to 10 times","6 to 10 times","11 to 20 times","6 to 10 times","11 to 20 times","21 to 50 times","6 to 10 times","21 to 50 times","> 10y. older partner",22,,"1 - Not at all","1 - Not at all","7","7",9,12,11,11,9,6,3,9,13,3,4,10,0,8,10,11,12,10,8,"West Germany",,"Town or suburb",,"Married",11,"2-5"
45,44,"Full time activity","Full time activity","Female","Male","Different sex",16,"11-20","Cohabiting","1","8","5",17,,"0x","0x","0x","0x","1-5x","0x","Not at all","Not at all","Not at all","11 to 20 times","11 to 20 times","11 to 20 times","Not at all","1 to 5 times","Not at all","1 to 5 times","1 to 5 times","Not at all","Same age",22,,"2","2","7","7",6,9,12,6,7,3,6,10,9,4,3,14,0,2,7,10,13,6,10,"West Germany","West Germany","Rural area","Rural area","Married",18,"6-13"
45,27,"Full time activity","Full time activity","Male","Female","Different sex",9.25,"6-10","Cohabiting","1","9","9",26,25,"> 50x","> 50x","21-50x","> 50x","> 50x","> 50x","More than 50 times","More than 50 times","21 to 50 times","More than 50 times","More than 50 times","21 to 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","> 10y. younger partner",24,24,"1 - Not at all","2","8","8",10,12,13,9,4,3,6,15,13,4,3,8,0,0,9,11,13,7,8,"West Germany","West Germany","City","City","Married",7,
30,34,"Home","Full time activity","Female","Male","Different sex",11.33333,"11-20","Cohabiting","2","7","9",20,20,"> 50x","21-50x","11-20x","> 50x","11-20x","11-20x","More than 50 times","21 to 50 times","11 to 20 times","More than 50 times","21 to 50 times","11 to 20 times","More than 50 times","11 to 20 times","11 to 20 times","More than 50 times","21 to 50 times","21 to 50 times","2-5y. older partner",21,15,"1 - Not at all","2","8","6",12,10,12,14,9,6,7,10,6,5,3,15,7,5,8,8,7,10,13,"West Germany","West Germany","City","City","Married",29,"0-1"
36,31,"Full time activity","Full time activity","Male","Female","Different sex",4.166667,"3-5","Cohabiting","0","9","9",27,26,"> 50x","> 50x","> 50x","> 50x","> 50x","> 50x","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","2-5y. younger partner",28,27,"1 - Not at all","1 - Not at all","9","9",8,13,10,10,6,4,5,15,15,4,5,16,0,5,13,13,12,9,7,"West Germany","West Germany","City","City","Not married",10,
26,26,"Full time activity","Full time activity","Male","Female","Different sex",.0833333,"0-2","Separate households","0","9","9",,,"> 50x","21-50x","21-50x","> 50x","11-20x","11-20x","More than 50 times","21 to 50 times","21 to 50 times","More than 50 times","21 to 50 times","21 to 50 times","More than 50 times","11 to 20 times","11 to 20 times","More than 50 times","11 to 20 times","21 to 50 times","Same age",,,"1 - Not at all","3","7","7",11,13,10,,5,3,6,14,14,5,5,,0,0,10,13,9,9,10,"West Germany","West Germany","City","City","Not married",9,
43,39,"Full time activity","Home","Male","Female","Different sex",21.25,"21+","Cohabiting","3+","9","8",23,23,"11-20x","11-20x","11-20x","11-20x","6-10x","6-10x","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","11 to 20 times","6 to 10 times","6 to 10 times","11 to 20 times","6 to 10 times","6 to 10 times","2-5y. younger partner",24,21,"1 - Not at all","3","8","9",8,11,7,13,8,4,5,13,10,4,3,14,8,8,9,10,12,5,8,"West Germany","West Germany","Town or suburb","Town or suburb","Married",12,"2-5"
40,41,"Full time activity","Part-time activity","Male","Female","Different sex",17.41667,"11-20","Cohabiting","1","9","8",23,23,"11-20x","11-20x","11-20x","11-20x","21-50x","11-20x","11 to 20 times","11 to 20 times","11 to 20 times","21 to 50 times","11 to 20 times","21 to 50 times","11 to 20 times","21 to 50 times","11 to 20 times","21 to 50 times","21 to 50 times","11 to 20 times","Same age",22,27,"1 - Not at all","1 - Not at all","9","8",8,6,12,12,6,3,3,,13,5,5,19,0,0,13,14,11,13,4,"West Germany","West Germany","Town or suburb","Town or suburb","Married",18,"6-13"
43,38,"Full time activity","Part-time activity","Male","Female","Different sex",18.41667,"11-20","Cohabiting","2","9","8",21,23,"21-50x","21-50x","21-50x","21-50x","21-50x","21-50x","21 to 50 times","21 to 50 times","21 to 50 times","More than 50 times","More than 50 times","More than 50 times","21 to 50 times","21 to 50 times","21 to 50 times","More than 50 times","More than 50 times","More than 50 times","2-5y. younger partner",22,24,"1 - Not at all","1 - Not at all","8","9",11,11,13,10,5,3,3,14,14,4,4,14,0,0,11,11,14,10,7,"East Germany","East Germany","Town or suburb","Town or suburb","Married",9,"6-13"
25,23,"Full time activity","Full time activity","Female","Male","Different sex",2.25,"0-2","Separate households","0","10 - Completely satisfied","9",26,27,"> 50x","> 50x","> 50x","21-50x","> 50x","11-20x","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","More than 50 times","21 to 50 times","More than 50 times","11 to 20 times","21 to 50 times","More than 50 times","11 to 20 times","2-5y. younger partner",24,27,"2","1 - Not at all","8","10 - Completely satisfied",11,12,12,9,6,4,3,11,14,4,4,23,2,0,10,4,7,12,5,"West Germany","West Germany","City","City","Not married",12,
35,34,"Full time activity","Home","Male","Female","Different sex",9.916667,"6-10","Cohabiting","2","8","8",24,26,"11-20x","21-50x","21-50x","21-50x","11-20x","21-50x","11 to 20 times","21 to 50 times","21 to 50 times","More than 50 times","More than 50 times","More than 50 times","21 to 50 times","11 to 20 times","21 to 50 times","21 to 50 times","11 to 20 times","21 to 50 times","Same age",24,28,"2","2","7","8",8,9,10,8,8,4,4,11,11,3,3,18,0,2,13,10,11,10,8,"East Germany","East Germany","Town or suburb","Town or suburb","Married",14,"2-5"
35,30,"Full time activity","Part-time activity","Male","Female","Different sex",9,"6-10","Cohabiting","2","7","7",20,17,"11-20x","1-5x","6-10x","6-10x","0x","1-5x","11 to 20 times","1 to 5 times","6 to 10 times","21 to 50 times","1 to 5 times","21 to 50 times","6 to 10 times","Not at all","1 to 5 times","6 to 10 times","Not at all","6 to 10 times","2-5y. younger partner",19,21,"1 - Not at all","2","7","6",11,10,11,7,10,5,5,10,10,4,3,13,2,1,6,13,11,8,10,"West Germany","West Germany","Rural area","Rural area","Married",9,"2-5"
27,25,"Full time activity","Full time activity","Male","Female","Different sex",7,"6-10","Cohabiting","0","9","9",,24,"11-20x","11-20x","1-5x","> 50x","6-10x","11-20x","11 to 20 times","11 to 20 times","1 to 5 times","11 to 20 times","11 to 20 times","1 to 5 times","More than 50 times","6 to 10 times","11 to 20 times","More than 50 times","6 to 10 times","11 to 20 times","2-5y. younger partner",,21,"1 - Not at all","3","9","8",8,13,11,7,5,3,4,15,13,5,3,25,0,5,8,10,15,5,10,"West Germany","West Germany","Town or suburb","Town or suburb","Not married",20,
33,35,"Part-time activity","Full time activity","Female","Male","Different sex",8.666667,"6-10","Cohabiting","1","9","9",26,23,"21-50x","11-20x","11-20x","6-10x","6-10x","6-10x","21 to 50 times","11 to 20 times","11 to 20 times","21 to 50 times","11 to 20 times","11 to 20 times","6 to 10 times","6 to 10 times","6 to 10 times","11 to 20 times","11 to 20 times","11 to 20 times","2-5y. older partner",28,25,"1 - Not at all","1 - Not at all","8","8",10,13,14,13,5,5,5,14,12,4,3,13,0,0,8,14,6,13,7,"West Germany","West Germany","City","City","Married",17,"0-1"
40,39,"Full time activity","Part-time activity","Male","Female","Different sex",17.25,"11-20","Cohabiting","2","10 - Completely satisfied","10 - Completely satisfied",22,23,"0x","0x","1-5x","21-50x","> 50x","11-20x","Not at all","Not at all","1 to 5 times","11 to 20 times","1 to 5 times","6 to 10 times","21 to 50 times","More than 50 times","11 to 20 times","21 to 50 times","More than 50 times","11 to 20 times","Same age",24,23,"1 - Not at all","1 - Not at all","8","9",6,13,13,5,9,5,3,13,14,3,4,7,0,4,7,11,13,11,7,"West Germany","West Germany","City","City","Married",8,"6-13"
39,43,"Home","Full time activity","Female","Male","Different sex",13.41667,"11-20","Cohabiting","2","10 - Completely satisfied","9",27,23,"21-50x","> 50x","21-50x","11-20x","1-5x","6-10x","21 to 50 times","More than 50 times","21 to 50 times","21 to 50 times","More than 50 times","21 to 50 times","11 to 20 times","1 to 5 times","6 to 10 times","11 to 20 times","1 to 5 times","11 to 20 times","2-5y. older partner",25,23,"1 - Not at all","2","8","8",10,13,13,13,6,3,3,13,14,5,4,12,8,3,10,9,9,9,5,"West Germany","West Germany","City","City","Married",13,"0-1"
32,31,"Full time activity","Full time activity","Female","Male","Different sex",10.41667,"6-10","Cohabiting","0","9","8",23,23,"11-20x","1-5x","11-20x","21-50x","21-50x","21-50x","11 to 20 times","1 to 5 times","11 to 20 times","11 to 20 times","1 to 5 times","11 to 20 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","21 to 50 times","Same age",19,26,"1 - Not at all","2","9","8",9,12,9,9,8,3,4,14,13,5,4,9,0,0,11,12,10,11,7,"West Germany","West Germany","City","City","Not married",10,
